marka_kodu,tip_kodu,arac_yili,kasko_degeri,veri_yili,veri_ay
9,1058,2016,2703286,2026,6
9,1058,2015,2622188,2026,6
9,1058,2014,2543522,2026,6
9,1058,2013,2467217,2026,6
9,1059,2016,2922810,2026,6
9,1059,2015,2835126,2026,6
9,1059,2014,2750072,2026,6
9,1059,2013,2667569,2026,6
9,1060,2016,1891558,2026,6
9,1060,2015,1834812,2026,6
9,1060,2014,1779767,2026,6
9,1060,2013,1726373,2026,6
9,1060,2012,1674583,2026,6
9,1061,2016,3512319,2026,6
9,1061,2015,3406950,2026,6
9,1061,2014,3304742,2026,6
9,1061,2013,3205599,2026,6
9,1062,2016,3018303,2026,6
9,1062,2015,2927755,2026,6
9,1062,2014,2839921,2026,6
9,1062,2013,2754723,2026,6
9,1063,2016,3055182,2026,6
9,1063,2015,2963527,2026,6
9,1063,2014,2874621,2026,6
9,1063,2013,2788382,2026,6
9,1064,2016,1075965,2026,6
9,1064,2015,1043686,2026,6
9,1064,2014,1012376,2026,6
9,1064,2013,982004,2026,6
9,1065,2016,1302015,2026,6
9,1065,2015,1262956,2026,6
9,1065,2014,1225066,2026,6
9,1065,2013,1188314,2026,6
9,1065,2012,1152665,2026,6
9,1066,2016,1258191,2026,6
9,1066,2015,1220445,2026,6
9,1066,2014,1183833,2026,6
9,1066,2013,1148317,2026,6
9,1067,2012,1006886,2026,6
9,1068,2016,1499548,2026,6
9,1068,2015,1454562,2026,6
9,1068,2014,1410925,2026,6
9,1068,2013,1368597,2026,6
9,1068,2012,1327540,2026,6
9,1070,2016,1197209,2026,6
9,1070,2015,1161293,2026,6
9,1070,2014,1126455,2026,6
9,1070,2013,1092661,2026,6
9,1070,2012,1059882,2026,6
9,1071,2016,1658194,2026,6
9,1071,2015,1608448,2026,6
9,1071,2014,1560195,2026,6
9,1071,2013,1513389,2026,6
9,1072,2016,2371455,2026,6
9,1072,2015,2300311,2026,6
9,1072,2014,2231303,2026,6
9,1072,2013,2164363,2026,6
9,1073,2016,1379197,2026,6
9,1073,2015,1337821,2026,6
9,1073,2014,1297688,2026,6
9,1073,2013,1258757,2026,6
9,1074,2016,1504101,2026,6
9,1074,2015,1458978,2026,6
9,1074,2014,1415209,2026,6
9,1074,2013,1372753,2026,6
9,1075,2016,1709693,2026,6
9,1075,2015,1658403,2026,6
9,1075,2014,1608651,2026,6
9,1075,2013,1560391,2026,6
9,1075,2012,1513580,2026,6
9,1076,2016,1717803,2026,6
9,1076,2015,1666269,2026,6
9,1076,2014,1616281,2026,6
9,1076,2013,1567794,2026,6
9,1077,2017,11898501,2026,6
9,1077,2016,11303576,2026,6
9,1077,2015,10964469,2026,6
9,1077,2014,10635536,2026,6
9,1077,2013,10316469,2026,6
9,1078,2016,3331585,2026,6
9,1078,2015,3231637,2026,6
9,1078,2014,3134688,2026,6
9,1078,2013,3040648,2026,6
9,1079,2015,1143056,2026,6
9,1079,2014,1108765,2026,6
9,1079,2013,1075502,2026,6
9,1080,2015,1088277,2026,6
9,1080,2014,1055629,2026,6
9,1080,2013,1023959,2026,6
9,1081,2015,1598360,2026,6
9,1081,2014,1550410,2026,6
9,1081,2013,1503898,2026,6
9,1082,2015,3217230,2026,6
9,1082,2014,3120714,2026,6
9,1082,2013,3027092,2026,6
9,1083,2017,8381456,2026,6
9,1083,2016,8297641,2026,6
9,1083,2015,8214665,2026,6
9,1083,2014,8206898,2026,6
9,1083,2013,7960692,2026,6
9,1085,2015,7381683,2026,6
9,1085,2014,7160232,2026,6
9,1085,2013,6945426,2026,6
9,1087,2015,1206880,2026,6
9,1087,2014,1170673,2026,6
9,1087,2013,1135554,2026,6
9,1088,2015,1284066,2026,6
9,1088,2014,1245544,2026,6
9,1088,2013,1208178,2026,6
9,1089,2015,1355031,2026,6
9,1089,2014,1314381,2026,6
9,1089,2013,1274948,2026,6
9,1090,2015,1166871,2026,6
9,1090,2014,1131864,2026,6
9,1090,2013,1097908,2026,6
9,1091,2015,1437102,2026,6
9,1091,2014,1393990,2026,6
9,1091,2013,1352171,2026,6
9,1092,2015,1260398,2026,6
9,1092,2014,1222585,2026,6
9,1092,2013,1185909,2026,6
9,1093,2015,1551998,2026,6
9,1093,2014,1505439,2026,6
9,1093,2013,1460275,2026,6
9,1095,2015,1548585,2026,6
9,1095,2014,1502127,2026,6
9,1096,2015,1548585,2026,6
9,1096,2014,1502127,2026,6
9,1097,2015,1856572,2026,6
9,1097,2014,1800875,2026,6
9,1098,2015,1729314,2026,6
9,1098,2014,1677434,2026,6
9,1099,2015,1753260,2026,6
9,1099,2014,1700661,2026,6
9,1100,2015,2137916,2026,6
9,1100,2014,2073778,2026,6
9,1101,2015,1298383,2026,6
9,1101,2014,1259432,2026,6
9,1101,2013,1221649,2026,6
9,1102,2015,1323223,2026,6
9,1102,2014,1283527,2026,6
9,1102,2013,1245021,2026,6
9,1103,2015,2085354,2026,6
9,1103,2014,2022794,2026,6
9,1104,2015,1591226,2026,6
9,1104,2014,1543489,2026,6
9,1105,2015,4604587,2026,6
9,1105,2014,4466450,2026,6
9,1106,2015,5203230,2026,6
9,1106,2014,5047133,2026,6
9,1107,2015,4954575,2026,6
9,1107,2014,4805937,2026,6
9,1108,2016,5779989,2026,6
